Year,Month,State,City,Product,UnitsSold,Revenue,OperatingProfit
2020,1,Nevada,Las Vegas,Men's Apparel,1644,619.085,349.86
2020,1,Nevada,Las Vegas,Men's Athletic Footwear,2534,943.597,253.969
2020,1,Nevada,Las Vegas,Men's Street Footwear,3482,1145.115,479.734
2020,1,Nevada,Las Vegas,Women's Apparel,3307,1302.062,1281.915
2020,1,Nevada,Las Vegas,Women's Athletic Footwear,1871,680.659,250.491
2020,1,Nevada,Las Vegas,Women's Street Footwear,2604,978.117,409.029
2020,1,New York,New York,Men's Apparel,4258,1669.277,507.357
2020,1,New York,New York,Men's Athletic Footwear,4555,1483.988,451.566
2020,1,New York,New York,Men's Street Footwear,7707,2548.71,1282.877
2020,1,New York,New York,Women's Apparel,4741,1548.358,393.021
2020,1,New York,New York,Women's Athletic Footwear,3913,1167.721,413.291
2020,1,New York,New York,Women's Street Footwear,4660,1218.583,431.078
2020,1,Pennsylvania,Philadelphia,Men's Athletic Footwear,702,212.373,53.995
2020,1,Pennsylvania,Philadelphia,Men's Street Footwear,730,165.67,66.783
2020,1,Pennsylvania,Philadelphia,Women's Apparel,441,216.293,65.71
2020,1,Pennsylvania,Philadelphia,Women's Athletic Footwear,477,141.801,50.376
2020,1,Pennsylvania,Philadelphia,Women's Street Footwear,707,212.337,85.959
2020,2,Nevada,Las Vegas,Men's Apparel,2679,1212.622,667.417
2020,2,Nevada,Las Vegas,Men's Athletic Footwear,4765,2051.253,501.471
2020,2,Nevada,Las Vegas,Men's Street Footwear,5302,2117.554,842.208
2020,2,Nevada,Las Vegas,Women's Apparel,3120,1614.212,337.754
2020,2,Nevada,Las Vegas,Women's Athletic Footwear,3349,1346.813,466.976
2020,2,Nevada,Las Vegas,Women's Street Footwear,3919,1627.822,650.768
2020,2,New York,New York,Men's Apparel,2721,1072.019,326.619
2020,2,New York,New York,Men's Athletic Footwear,2929,1004.675,304.785
2020,2,New York,New York,Men's Street Footwear,1903,765.222,385.33
2020,2,New York,New York,Women's Apparel,1521,499.649,126.571
2020,2,New York,New York,Women's Athletic Footwear,2722,835.125,295.698
2020,2,New York,New York,Women's Street Footwear,2916,851.022,301.764
2020,3,Colorado,Denver,Men's Apparel,728,288.224,144.95
2020,3,Colorado,Denver,Men's Athletic Footwear,1048,379.594,77.093
2020,3,Colorado,Denver,Men's Street Footwear,1371,387.142,136.753
2020,3,Colorado,Denver,Women's Apparel,1119,359.028,54.89
2020,3,Colorado,Denver,Women's Athletic Footwear,737,282.182,85.64
2020,3,Colorado,Denver,Women's Street Footwear,1064,400.59,141.736
2020,3,Nevada,Las Vegas,Men's Apparel,1718,788.237,396.932
2020,3,Nevada,Las Vegas,Men's Athletic Footwear,2692,1033.889,211.64
2020,3,Nevada,Las Vegas,Men's Street Footwear,2710,923.491,327.248
2020,3,Nevada,Las Vegas,Women's Apparel,2179,1063.178,163.67000000000002
2020,3,Nevada,Las Vegas,Women's Athletic Footwear,1857,666.177,1050.924
2020,3,Nevada,Las Vegas,Women's Street Footwear,2099,744.626,263.807
2020,3,New York,New York,Men's Apparel,2874,1148.006,349.252
2020,3,New York,New York,Men's Athletic Footwear,4912,1762.816,535.944
2020,3,New York,New York,Men's Street Footwear,5941,2373.157,1193.494
2020,3,New York,New York,Women's Apparel,5050,2148.162,546.284
2020,3,New York,New York,Women's Athletic Footwear,4361,1430.968,505.831
2020,3,New York,New York,Women's Street Footwear,4512,1481.11,524.072
2020,4,Colorado,Denver,Men's Apparel,2150,1228.143,746.2909999999999
2020,4,Colorado,Denver,Men's Athletic Footwear,3295,1819.235,561.4209999999999
2020,4,Colorado,Denver,Men's Street Footwear,4124,2126.142,969.668
2020,4,Colorado,Denver,Women's Apparel,2944,1857.547,470.976
2020,4,Colorado,Denver,Women's Athletic Footwear,2531,1314.994,537.169
2020,4,Colorado,Denver,Women's Street Footwear,3115,1691.393,772.8919999999999
2020,4,Florida,Miami,Men's Apparel,1792,827.81,292.117
2020,4,Florida,Miami,Men's Athletic Footwear,2935,1236.46,437.183
2020,4,Florida,Miami,Men's Street Footwear,4016,1737.052,787.021
2020,4,Florida,Miami,Women's Apparel,2081,921.274,463.774
2020,4,Florida,Miami,Women's Athletic Footwear,1714,625.757,189.919
2020,4,Florida,Miami,Women's Street Footwear,1866,644.082,163.055
2020,4,New York,New York,Men's Apparel,4316,1733.646,527.179
