Product,Year,Month,Retailer,SalesMethod,UnitsSold,Revenue,OperatingProfit
Men's Apparel,2020,1,Foot Locker,In-store,900,540.0,162.0
Men's Apparel,2020,1,Foot Locker,Online,707,40.534,16.907
Men's Apparel,2020,1,Foot Locker,Outlet,2651,1088.743,328.45
Men's Apparel,2020,1,West Gear,Online,281,15.143,10.305
Men's Apparel,2020,1,West Gear,Outlet,1363,603.942,339.555
Men's Apparel,2020,2,Foot Locker,Online,460,26.495,11.562
Men's Apparel,2020,2,Foot Locker,Outlet,2261,1045.524,315.057
Men's Apparel,2020,2,West Gear,In-store,1375,961.25,514.688
Men's Apparel,2020,2,West Gear,Online,469,30.003,20.281
Men's Apparel,2020,2,West Gear,Outlet,835,221.369,132.448
Men's Apparel,2020,3,Foot Locker,Online,483,27.258,11.998
Men's Apparel,2020,3,Foot Locker,Outlet,2391,1120.748,337.254
Men's Apparel,2020,3,West Gear,In-store,1650,1033.75,516.875
Men's Apparel,2020,3,West Gear,Online,434,25.437,15.678999999999998
Men's Apparel,2020,3,West Gear,Outlet,362,17.274,9.328
Men's Apparel,2020,4,Walmart,Online,758,44.3,18.751
Men's Apparel,2020,4,Walmart,Outlet,3558,1689.346,508.428
Men's Apparel,2020,4,West Gear,In-store,3100,2003.75,1006.376
Men's Apparel,2020,4,West Gear,Online,842,52.203,32.032
Men's Apparel,2020,5,Foot Locker,In-store,775,503.75,176.313
Men's Apparel,2020,5,Foot Locker,Online,202,12.12,5.939
Men's Apparel,2020,5,Walmart,Online,515,31.916,13.562
Men's Apparel,2020,5,Walmart,Outlet,2334,1180.302,355.818
Men's Apparel,2020,5,West Gear,In-store,1750,1232.5,636.626
Men's Apparel,2020,5,West Gear,Online,488,32.363,20.913
Men's Apparel,2020,6,West Gear,In-store,1175,825.0,206.251
Men's Apparel,2020,6,West Gear,Online,324,21.588,8.424
Men's Apparel,2020,7,Sports Direct,Online,279,10.294,4.522
Men's Apparel,2020,7,Sports Direct,Outlet,1386,429.056,129.034
Men's Apparel,2020,7,West Gear,In-store,2325,1870.0,467.501
Men's Apparel,2020,7,West Gear,Online,619,46.346,17.55
Men's Apparel,2020,8,Foot Locker,In-store,2175,1196.25,418.688
Men's Apparel,2020,8,Foot Locker,Online,595,30.950000000000003,14.858
Men's Apparel,2020,8,Sports Direct,Online,125,5.125,2.05
Men's Apparel,2020,8,Sports Direct,Outlet,655,230.425,69.236
Men's Apparel,2020,8,Walmart,Online,680,28.195,11.747
Men's Apparel,2020,8,Walmart,Outlet,3272,1139.706,343.028
Men's Apparel,2020,8,West Gear,In-store,475,427.5,106.875
Men's Apparel,2020,8,West Gear,Online,133,10.906,4.144
Men's Apparel,2020,9,Foot Locker,In-store,750,412.5,144.375
Men's Apparel,2020,9,Foot Locker,Online,225,11.7,5.265
Men's Apparel,2020,9,Sports Direct,In-store,725,398.75,139.563
Men's Apparel,2020,9,Sports Direct,Online,210,10.5,5.25
Men's Apparel,2020,9,Walmart,Online,494,20.929,8.666
Men's Apparel,2020,9,Walmart,Outlet,2468,854.336,257.516
Men's Apparel,2020,9,West Gear,In-store,1575,1023.75,358.313
Men's Apparel,2020,9,West Gear,Online,441,27.134,13.296
Men's Apparel,2020,10,Foot Locker,In-store,300,135.0,40.5
Men's Apparel,2020,10,Foot Locker,Online,83,3.481,1495.0
Men's Apparel,2020,10,Sports Direct,In-store,1450,907.5,317.625
Men's Apparel,2020,10,Sports Direct,Online,384,23.253,11.627
Men's Apparel,2020,10,Walmart,Online,364,15.288,6.88
Men's Apparel,2020,10,Walmart,Outlet,1703,597.09,179.618
Men's Apparel,2020,11,Foot Locker,In-store,200,103.75,31.125
Men's Apparel,2020,11,Foot Locker,Online,156,1557.047,1975.165
Men's Apparel,2020,11,Foot Locker,Outlet,350,175.0,52.5
Men's Apparel,2020,11,West Gear,Online,301,15.211,9.443
Men's Apparel,2020,11,West Gear,Outlet,1413,604.754,303.125
Men's Apparel,2020,12,Foot Locker,Online,173,785.996,3246.0
