Retailer,Retailer ID,Invoice Date,Region,State,City,Product, Price per Unit,Units Sold, Total Sales, Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,  50 ,1.200,  600.000 ,  300.000 ,"0,5",In-store
Foot Locker,1185732,1/2/2020,Northeast,New York,New York,Men's Athletic Footwear,  50 ,1.000,  500.000 ,  150.000 ,"0,3",In-store
Foot Locker,1185732,1/3/2020,Northeast,New York,New York,Women's Street Footwear,  40 ,1.000,  400.000 ,  140.000 ,"0,35",In-store
Foot Locker,1185732,1/4/2020,Northeast,New York,New York,Women's Athletic Footwear,  45 ,850,  382.500 ,  133.875 ,"0,35",In-store
Foot Locker,1185732,1/5/2020,Northeast,New York,New York,Men's Apparel,  60 ,900,  540.000 ,  162.000 ,"0,3",In-store
Foot Locker,1185732,1/6/2020,Northeast,New York,New York,Women's Apparel,  50 ,1.000,  500.000 ,  125.000 ,"0,25",In-store
Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's Street Footwear,  50 ,1.250,  625.000 ,  312.500 ,"0,5",In-store
Foot Locker,1185732,1/8/2020,Northeast,New York,New York,Men's Athletic Footwear,  50 ,900,  450.000 ,  135.000 ,"0,3",Outlet
Foot Locker,1185732,1/21/2020,Northeast,New York,New York,Women's Street Footwear,  40 ,950,  380.000 ,  133.000 ,"0,35",Outlet
Foot Locker,1185732,1/22/2020,Northeast,New York,New York,Women's Athletic Footwear,  45 ,825,  371.250 ,  129.938 ,"0,35",Outlet
Foot Locker,1185732,1/23/2020,Northeast,New York,New York,Men's Apparel,  60 ,900,  540.000 ,  162.000 ,"0,3",Outlet
Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,  50 ,1.000,  500.000 ,  125.000 ,"0,25",Outlet
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,  50 ,1.220,  610.000 ,  305.000 ,"0,5",Outlet
Foot Locker,1185732,1/26/2020,Northeast,New York,New York,Men's Athletic Footwear,  50 ,925,  462.500 ,  138.750 ,"0,3",Outlet
Foot Locker,1185732,1/27/2020,Northeast,New York,New York,Women's Street Footwear,  40 ,950,  380.000 ,  133.000 ,"0,35",Outlet
Foot Locker,1185732,1/28/2020,Northeast,New York,New York,Women's Athletic Footwear,  45 ,800,  360.000 ,  126.000 ,"0,35",Outlet
Foot Locker,1185732,1/29/2020,Northeast,New York,New York,Men's Apparel,  60 ,850,  510.000 ,  153.000 ,"0,3",Outlet
Foot Locker,1185732,1/30/2020,Northeast,New York,New York,Women's Apparel,  50 ,950,  475.000 ,  118.750 ,"0,25",Outlet
Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,  50 ,1.200,  600.000 ,  300.000 ,"0,5",Outlet
Foot Locker,1185732,2/1/2020,Northeast,New York,New York,Men's Athletic Footwear,  50 ,900,  450.000 ,  135.000 ,"0,3",Outlet
